ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,total_E
84,8.4e-06,178.55657410621643,0,0,0.0,0.0,0.0,0.0,1.1669023642470546e-08,1.1669023642470546e-08
85,8.5e-06,179.2924416065216,0,0,0.0,0.0,0.0,0.0,1.1669023642693987e-08,1.1669023642693987e-08
86,8.6e-06,180.00586867332458,0,0,0.0,0.0,0.0,0.0,1.1669023642914204e-08,1.1669023642914204e-08
87,8.700000000000001e-06,180.62339448928833,0,0,0.0,0.0,0.0,0.0,1.166902364313121e-08,1.166902364313121e-08
88,8.800000000000002e-06,181.15303897857666,0,0,0.0,0.0,0.0,0.0,1.1669023643345274e-08,1.1669023643345274e-08
89,8.900000000000003e-06,182.02993083000183,0,0,0.0,0.0,0.0,0.0,1.1669023643556316e-08,1.1669023643556316e-08
90,9.000000000000004e-06,182.8339114189148,0,0,0.0,0.0,0.0,0.0,1.1669023643764436e-08,1.1669023643764436e-08
91,9.100000000000004e-06,183.49346351623535,0,0,0.0,0.0,0.0,0.0,1.166902364396929e-08,1.166902364396929e-08
92,9.200000000000005e-06,184.07853031158447,0,0,0.0,0.0,0.0,0.0,1.1669023644171527e-08,1.1669023644171527e-08
93,9.300000000000006e-06,184.94828605651855,0,0,0.0,0.0,0.0,0.0,1.1669023644370803e-08,1.1669023644370803e-08
94,9.400000000000007e-06,185.98661947250366,0,0,0.0,0.0,0.0,0.0,1.1669023644567324e-08,1.1669023644567324e-08
95,9.500000000000007e-06,186.61730694770813,0,0,0.0,0.0,0.0,0.0,1.1669023644760938e-08,1.1669023644760938e-08
96,9.600000000000008e-06,187.19447588920593,0,0,0.0,0.0,0.0,0.0,1.1669023644951965e-08,1.1669023644951965e-08
97,9.700000000000009e-06,187.7155065536499,0,0,0.0,0.0,0.0,0.0,1.1669023645140231e-08,1.1669023645140231e-08
98,9.80000000000001e-06,188.25038599967957,0,0,0.0,0.0,0.0,0.0,1.1669023645325756e-08,1.1669023645325756e-08
99,9.90000000000001e-06,188.80388140678406,0,0,0.0,0.0,0.0,0.0,1.1669023645508762e-08,1.1669023645508762e-08
100,1.0000000000000011e-05,189.3064742088318,0,0,0.0,0.0,0.0,0.0,1.166902364568905e-08,1.166902364568905e-08
101,1.0100000000000012e-05,190.07491397857666,0,0,0.0,0.0,0.0,0.0,1.1669023645866863e-08,1.1669023645866863e-08
102,1.0200000000000012e-05,190.58092784881592,0,0,0.0,0.0,0.0,0.0,1.1669023646042148e-08,1.1669023646042148e-08
103,1.0300000000000013e-05,191.17971014976501,0,0,0.0,0.0,0.0,0.0,1.1669023646215e-08,1.1669023646215e-08
104,1.0400000000000014e-05,191.9077410697937,0,0,0.0,0.0,0.0,0.0,1.1669023646385276e-08,1.1669023646385276e-08
105,1.0500000000000015e-05,192.54162430763245,0,0,0.0,0.0,0.0,0.0,1.1669023646553213e-08,1.1669023646553213e-08
106,1.0600000000000015e-05,193.2742772102356,0,0,0.0,0.0,0.0,0.0,1.1669023646718765e-08,1.1669023646718765e-08
107,1.0700000000000016e-05,193.97767448425293,0,0,0.0,0.0,0.0,0.0,1.166902364688204e-08,1.166902364688204e-08
108,1.0800000000000017e-05,194.72008848190308,0,0,0.0,0.0,0.0,0.0,1.1669023647042773e-08,1.1669023647042773e-08
109,1.0900000000000018e-05,195.3077666759491,0,0,0.0,0.0,0.0,0.0,1.1669023647201481e-08,1.1669023647201481e-08
110,1.1000000000000018e-05,195.86874222755432,0,0,0.0,0.0,0.0,0.0,1.1669023647357901e-08,1.1669023647357901e-08
111,1.1100000000000019e-05,196.34600114822388,0,0,0.0,0.0,0.0,0.0,1.1669023647512043e-08,1.1669023647512043e-08
112,1.120000000000002e-05,196.84422183036804,0,0,0.0,0.0,0.0,0.0,1.1669023647664024e-08,1.1669023647664024e-08
113,1.130000000000002e-05,197.35605478286743,0,0,0.0,0.0,0.0,0.0,1.166902364781378e-08,1.166902364781378e-08
114,1.1400000000000021e-05,197.88252902030945,0,0,0.0,0.0,0.0,0.0,1.1669023647961476e-08,1.1669023647961476e-08
115,1.1500000000000022e-05,198.58627247810364,0,0,0.0,0.0,0.0,0.0,1.1669023648106976e-08,1.1669023648106976e-08
116,1.1600000000000023e-05,199.11159014701843,0,0,0.0,0.0,0.0,0.0,1.1669023648250627e-08,1.1669023648250627e-08
117,1.1700000000000024e-05,199.62743854522705,0,0,0.0,0.0,0.0,0.0,1.1669023648392079e-08,1.1669023648392079e-08
118,1.1800000000000024e-05,200.12704944610596,0,0,0.0,0.0,0.0,0.0,1.1669023648531636e-08,1.1669023648531636e-08
119,1.1900000000000025e-05,200.62422442436218,0,0,0.0,0.0,0.0,0.0,1.1669023648669192e-08,1.1669023648669192e-08
120,1.2000000000000026e-05,201.12850308418274,0,0,0.0,0.0,0.0,0.0,1.1669023648804683e-08,1.1669023648804683e-08
121,1.2100000000000026e-05,201.91092038154602,0,0,0.0,0.0,0.0,0.0,1.1669023648938431e-08,1.1669023648938431e-08
122,1.2200000000000027e-05,202.42596101760864,0,0,0.0,0.0,0.0,0.0,1.1669023649070216e-08,1.1669023649070216e-08
123,1.2300000000000028e-05,202.96515130996704,0,0,0.0,0.0,0.0,0.0,1.1669023649200107e-08,1.1669023649200107e-08
124,1.2400000000000029e-05,203.48579216003418,0,0,0.0,0.0,0.0,0.0,1.1669023649328192e-08,1.1669023649328192e-08
125,1.250000000000003e-05,203.98263788223267,0,0,0.0,0.0,0.0,0.0,1.1669023649454423e-08,1.1669023649454423e-08
126,1.260000000000003e-05,204.5092418193817,0,0,0.0,0.0,0.0,0.0,1.1669023649578886e-08,1.1669023649578886e-08
127,1.2700000000000031e-05,204.98645520210266,0,0,0.0,0.0,0.0,0.0,1.1669023649701558e-08,1.1669023649701558e-08
128,1.2800000000000032e-05,205.55535531044006,0,0,0.0,0.0,0.0,0.0,1.1669023649822534e-08,1.1669023649822534e-08
129,1.2900000000000032e-05,206.05590295791626,0,0,0.0,0.0,0.0,0.0,1.1669023649941796e-08,1.1669023649941796e-08
130,1.3000000000000033e-05,206.5716905593872,0,0,0.0,0.0,0.0,0.0,1.1669023650059334e-08,1.1669023650059334e-08
131,1.3100000000000034e-05,207.04803609848022,0,0,0.0,0.0,0.0,0.0,1.1669023650175138e-08,1.1669023650175138e-08
132,1.3200000000000035e-05,207.5796263217926,0,0,0.0,0.0,0.0,0.0,1.166902365028949e-08,1.166902365028949e-08
133,1.3300000000000035e-05,208.0417628288269,0,0,0.0,0.0,0.0,0.0,1.1669023650402068e-08,1.1669023650402068e-08
134,1.3400000000000036e-05,208.60330867767334,0,0,0.0,0.0,0.0,0.0,1.1669023650513117e-08,1.1669023650513117e-08
135,1.3500000000000037e-05,209.12453961372375,0,0,0.0,0.0,0.0,0.0,1.1669023650622543e-08,1.1669023650622543e-08
136,1.3600000000000038e-05,209.61267352104187,0,0,0.0,0.0,0.0,0.0,1.166902365073043e-08,1.166902365073043e-08
137,1.3700000000000038e-05,210.10078716278076,0,0,0.0,0.0,0.0,0.0,1.1669023650836822e-08,1.1669023650836822e-08
138,1.3800000000000039e-05,210.60261154174805,0,0,0.0,0.0,0.0,0.0,1.1669023650941749e-08,1.1669023650941749e-08
139,1.390000000000004e-05,211.0893750190735,0,0,0.0,0.0,0.0,0.0,1.1669023651045128e-08,1.1669023651045128e-08
140,1.400000000000004e-05,211.57333183288574,0,0,0.0,0.0,0.0,0.0,1.1669023651147035e-08,1.1669023651147035e-08
141,1.4100000000000041e-05,212.42034602165222,0,0,0.0,0.0,0.0,0.0,1.1669023651247493e-08,1.1669023651247493e-08
142,1.4200000000000042e-05,212.97891879081726,0,0,0.0,0.0,0.0,0.0,1.1669023651346645e-08,1.1669023651346645e-08
143,1.4300000000000043e-05,213.54523038864136,0,0,0.0,0.0,0.0,0.0,1.166902365144427e-08,1.166902365144427e-08
144,1.4400000000000043e-05,214.0248086452484,0,0,0.0,0.0,0.0,0.0,1.1669023651540548e-08,1.1669023651540548e-08
145,1.4500000000000044e-05,214.52069664001465,0,0,0.0,0.0,0.0,0.0,1.1669023651635376e-08,1.1669023651635376e-08
146,1.4600000000000045e-05,215.06646704673767,0,0,0.0,0.0,0.0,0.0,1.1669023651728978e-08,1.1669023651728978e-08
147,1.4700000000000046e-05,215.79876732826233,0,0,0.0,0.0,0.0,0.0,1.1669023651821267e-08,1.1669023651821267e-08
148,1.4800000000000046e-05,216.2861728668213,0,0,0.0,0.0,0.0,0.0,1.1669023651912169e-08,1.1669023651912169e-08
149,1.4900000000000047e-05,216.8123164176941,0,0,0.0,0.0,0.0,0.0,1.166902365200182e-08,1.166902365200182e-08
150,1.5000000000000048e-05,217.33850765228271,0,0,0.0,0.0,0.0,0.0,1.1669023652090193e-08,1.1669023652090193e-08
151,1.5100000000000049e-05,217.80576276779175,0,0,0.0,0.0,0.0,0.0,1.1669023652177327e-08,1.1669023652177327e-08
152,1.520000000000005e-05,218.33044266700745,0,0,0.0,0.0,0.0,0.0,1.1669023652263115e-08,1.1669023652263115e-08
