ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
130,2.599999999999995e-07,1234.051156282425,9261,800000000.0000001,0.0,0.0,0.0,5.581684023776283e-14,68921,100000000.00000001,0.0,0.0,0.0,9.142481341125033e-11,7.686059001621898e-11,1.6834122026770707e-10
140,2.7999999999999944e-07,1322.1532690525055,9261,800000000.0000001,0.0,0.0,0.0,6.480603150859476e-14,68921,100000000.00000001,0.0,0.0,0.0,1.0614859805531055e-10,7.686059001621898e-11,1.8307399410303813e-10
150,2.9999999999999935e-07,1406.144724369049,9261,800000000.0000001,0.0,0.0,0.0,7.446605794931167e-14,68921,100000000.00000001,0.0,0.0,0.0,1.2197117259951207e-10,7.686059001621898e-11,1.9890622867368035e-10
160,3.1999999999999927e-07,1483.852516412735,9261,800000000.0000001,0.0,0.0,0.0,8.479691955991272e-14,68921,100000000.00000001,0.0,0.0,0.0,1.3889253704385547e-10,7.686059001621898e-11,2.1583792397963437e-10
170,3.399999999999992e-07,1561.2931826114655,9261,800000000.0000001,0.0,0.0,0.0,9.579861634039703e-14,68921,100000000.00000001,0.0,0.0,0.0,1.5691269138833743e-10,7.686059001621898e-11,2.338690800208968e-10
180,3.599999999999991e-07,1642.5203607082367,9261,800000000.0000001,0.0,0.0,0.0,1.0747114829076657e-13,68921,100000000.00000001,0.0,0.0,0.0,1.7603163563296505e-10,7.686059001621898e-11,2.529996967974748e-10
190,3.79999999999999e-07,1710.6447250843048,9261,800000000.0000001,0.0,0.0,0.0,1.1981451541102064e-13,68921,100000000.00000001,0.0,0.0,0.0,1.9624936977772406e-10,7.686059001621898e-11,2.7322977430935405e-10
200,3.999999999999989e-07,1781.839480638504,9261,800000000.0000001,0.0,0.0,0.0,1.3282871770115742e-13,68921,100000000.00000001,0.0,0.0,0.0,2.175658938226383e-10,7.686059001621898e-11,2.945593125565584e-10
210,4.1999999999999884e-07,1843.3907494544983,9261,800000000.0000001,0.0,0.0,0.0,1.465137551611803e-13,68921,100000000.00000001,0.0,0.0,0.0,2.399812077676823e-10,7.686059001621898e-11,3.1698831153906246e-10
220,4.3999999999999875e-07,1907.103927373886,9261,800000000.0000001,0.0,0.0,0.0,1.6086962779108632e-13,68921,100000000.00000001,0.0,0.0,0.0,2.6349531161287177e-10,7.686059001621898e-11,3.405167712568818e-10
230,4.5999999999999867e-07,1967.5446910858154,9261,800000000.0000001,0.0,0.0,0.0,1.7589633559087613e-13,68921,100000000.00000001,0.0,0.0,0.0,2.881082053581986e-10,7.686059001621898e-11,3.6514469171000846e-10
240,4.799999999999987e-07,2033.5089871883392,9261,800000000.0000001,0.0,0.0,0.0,1.915938785605519e-13,68921,100000000.00000001,0.0,0.0,0.0,3.1381988900367014e-10,7.686059001621898e-11,3.9087207289844964e-10
250,4.999999999999991e-07,2093.5945117473602,9261,800000000.0000001,0.0,0.0,0.0,2.0796225670011095e-13,68921,100000000.00000001,0.0,0.0,0.0,3.4063036254927867e-10,7.686059001621898e-11,4.176989148221977e-10
260,5.199999999999996e-07,2153.7955329418182,9261,800000000.0000001,0.0,0.0,0.0,2.2500147000955385e-13,68921,100000000.00000001,0.0,0.0,0.0,3.6853962599503586e-10,7.686059001621898e-11,4.456252174812644e-10
270,5.4e-07,2215.2861902713776,9261,800000000.0000001,0.0,0.0,0.0,2.4271151848888093e-13,68921,100000000.00000001,0.0,0.0,0.0,3.975476793409212e-10,7.686059001621898e-11,4.74650980875629e-10
280,5.600000000000005e-07,2276.642345428467,9261,800000000.0000001,0.0,0.0,0.0,2.610924021380946e-13,68921,100000000.00000001,0.0,0.0,0.0,4.276545225869651e-10,7.686059001621898e-11,5.047762050053222e-10
290,5.800000000000009e-07,2329.232987642288,9261,800000000.0000001,0.0,0.0,0.0,2.8014412095719107e-13,68921,100000000.00000001,0.0,0.0,0.0,4.588601557331428e-10,7.686059001621898e-11,5.36000889870319e-10
300,6.000000000000013e-07,2382.509436607361,9261,800000000.0000001,0.0,0.0,0.0,2.998666749461697e-13,68921,100000000.00000001,0.0,0.0,0.0,4.91164578779456e-10,7.686059001621898e-11,5.683250354706212e-10
310,6.200000000000018e-07,2434.8276171684265,9261,800000000.0000001,0.0,0.0,0.0,3.202600641050347e-13,68921,100000000.00000001,0.0,0.0,0.0,5.245677917259071e-10,7.686059001621898e-11,6.017486418062311e-10
320,6.400000000000022e-07,2487.4077157974243,9261,800000000.0000001,0.0,0.0,0.0,3.413242884337867e-13,68921,100000000.00000001,0.0,0.0,0.0,5.59069794572507e-10,7.686059001621898e-11,6.362717088771598e-10
330,6.600000000000027e-07,2540.7418332099915,9261,800000000.0000001,0.0,0.0,0.0,3.6305934793241834e-13,68921,100000000.00000001,0.0,0.0,0.0,5.94670587319252e-10,7.686059001621898e-11,6.718942366834034e-10
340,6.800000000000031e-07,2591.9566893577576,9261,800000000.0000001,0.0,0.0,0.0,3.85465242600934e-13,68921,100000000.00000001,0.0,0.0,0.0,6.313701699661253e-10,7.686059001621898e-11,7.086162252249452e-10
350,7.000000000000036e-07,2645.3873567581177,9261,800000000.0000001,0.0,0.0,0.0,4.085419724393378e-13,68921,100000000.00000001,0.0,0.0,0.0,6.691685425131533e-10,7.686059001621898e-11,7.464376745018116e-10
360,7.20000000000004e-07,2697.5293402671814,9261,800000000.0000001,0.0,0.0,0.0,4.3228953744762383e-13,68921,100000000.00000001,0.0,0.0,0.0,7.080657049603162e-10,7.686059001621898e-11,7.853585845139829e-10
370,7.400000000000045e-07,2749.813908815384,9261,800000000.0000001,0.0,0.0,0.0,4.567079376257949e-13,68921,100000000.00000001,0.0,0.0,0.0,7.48061657307624e-10,7.686059001621898e-11,8.253789552614688e-10
380,7.600000000000049e-07,2803.67902469635,9261,800000000.0000001,0.0,0.0,0.0,4.817971729738472e-13,68921,100000000.00000001,0.0,0.0,0.0,7.891563995550714e-10,7.686059001621898e-11,8.664987867442642e-10
390,7.800000000000053e-07,2857.6404824256897,9261,800000000.0000001,0.0,0.0,0.0,5.075572434917895e-13,68921,100000000.00000001,0.0,0.0,0.0,8.313499317026583e-10,7.686059001621898e-11,9.08718078962369e-10
400,8.000000000000058e-07,2909.1689314842224,9261,800000000.0000001,0.0,0.0,0.0,5.339881491796085e-13,68921,100000000.00000001,0.0,0.0,0.0,8.746422537503549e-10,7.686059001621898e-11,9.520368319157535e-10
410,8.200000000000062e-07,2961.240339279175,9261,800000000.0000001,0.0,0.0,0.0,5.610898900373238e-13,68921,100000000.00000001,0.0,0.0,0.0,9.19033365698232e-10,7.686059001621898e-11,9.964550456044883e-10
420,8.400000000000067e-07,3011.6162164211273,9261,800000000.0000001,0.0,0.0,0.0,5.888624660649127e-13,68921,100000000.00000001,0.0,0.0,0.0,9.64523267546246e-10,7.686059001621898e-11,1.0419727200285299e-09
430,8.600000000000071e-07,3063.622620344162,9261,800000000.0000001,0.0,0.0,0.0,6.173058772623859e-13,68921,100000000.00000001,0.0,0.0,0.0,1.0111119592943834e-09,7.686059001621898e-11,1.0885898551878646e-09
440,8.800000000000076e-07,3116.163619995117,9261,800000000.0000001,0.0,0.0,0.0,6.464201236297486e-13,68921,100000000.00000001,0.0,0.0,0.0,1.0587994409426857e-09,7.686059001621898e-11,1.1363064510825345e-09
450,9.00000000000008e-07,3168.0098462104797,9261,800000000.0000001,0.0,0.0,0.0,6.7620520516699e-13,68921,100000000.00000001,0.0,0.0,0.0,1.1075857124911082e-09,7.686059001621898e-11,1.1851225077124942e-09
460,9.200000000000084e-07,3220.3400042057037,9261,800000000.0000001,0.0,0.0,0.0,7.066611218741167e-13,68921,100000000.00000001,0.0,0.0,0.0,1.1574707739396762e-09,7.686059001621898e-11,1.2350380250777693e-09
470,9.400000000000089e-07,3272.445202589035,9261,800000000.0000001,0.0,0.0,0.0,7.377878737511307e-13,68921,100000000.00000001,0.0,0.0,0.0,1.2084546252884035e-09,7.686059001621898e-11,1.2860530031783735e-09
480,9.60000000000009e-07,3326.2277772426605,9261,800000000.0000001,0.0,0.0,0.0,7.695854607980354e-13,68921,100000000.00000001,0.0,0.0,0.0,1.2605372665372502e-09,7.686059001621898e-11,1.3381674420142672e-09
490,9.800000000000084e-07,3378.3831062316895,9261,800000000.0000001,0.0,0.0,0.0,8.020538830148139e-13,68921,100000000.00000001,0.0,0.0,0.0,1.3137186976862175e-09,7.686059001621898e-11,1.3913813415854513e-09
500,1.0000000000000078e-06,3429.489089488983,9261,800000000.0000001,0.0,0.0,0.0,8.35193140401476e-13,68921,100000000.00000001,0.0,0.0,0.0,1.3679989187353812e-09,7.686059001621898e-11,1.4456947018920016e-09
510,1.0200000000000072e-06,3482.056517601013,9261,800000000.0000001,0.0,0.0,0.0,8.690032329580282e-13,68921,100000000.00000001,0.0,0.0,0.0,1.4233779296846421e-09,7.686059001621898e-11,1.501107522933819e-09
520,1.0400000000000066e-06,3540.0466544628143,9261,800000000.0000001,0.0,0.0,0.0,9.034841606844603e-13,68921,100000000.00000001,0.0,0.0,0.0,1.4798557305340813e-09,7.686059001621898e-11,1.5576198047109846e-09
530,1.060000000000006e-06,3603.1736509799957,9261,800000000.0000001,0.0,0.0,0.0,9.386359235807776e-13,68921,100000000.00000001,0.0,0.0,0.0,1.5374323212836076e-09,7.686059001621898e-11,1.6152315472234075e-09
