ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
50,1.02e-07,2.50565,68921,8e+08,-6.91479e-19,-6.91479e-19,-6.91479e-19,6.87475e-15,9261,1e+08,2.21877e-17,2.21877e-17,2.21877e-17,1.07317e-11,6.61171e-11,7.68557e-11
51,1.04e-07,2.64317,68921,8e+08,-8.15726e-19,-8.15726e-19,-8.15726e-19,7.1354e-15,9261,1e+08,2.25747e-17,2.25747e-17,2.25747e-17,1.10491e-11,6.58004e-11,7.68566e-11
52,1.06e-07,2.6795,68921,8e+08,-8.44768e-19,-8.44768e-19,-8.44768e-19,7.40072e-15,9261,1e+08,2.29572e-17,2.29572e-17,2.29572e-17,1.13648e-11,6.54855e-11,7.68577e-11
53,1.08e-07,2.71885,68921,8e+08,-8.98635e-19,-8.98635e-19,-8.98635e-19,7.67069e-15,9261,1e+08,2.33349e-17,2.33349e-17,2.33349e-17,1.16786e-11,6.51725e-11,7.68588e-11
54,1.1e-07,2.7558,68921,8e+08,-9.03869e-19,-9.03869e-19,-9.03869e-19,7.94529e-15,9261,1e+08,2.37077e-17,2.37077e-17,2.37077e-17,1.199e-11,6.4862e-11,7.686e-11
55,1.12e-07,2.79399,68921,8e+08,-7.34515e-19,-7.34515e-19,-7.34515e-19,8.22446e-15,9261,1e+08,2.40755e-17,2.40755e-17,2.40755e-17,1.22988e-11,6.45542e-11,7.68612e-11
56,1.14e-07,2.83057,68921,8e+08,-7.48478e-19,-7.48478e-19,-7.48478e-19,8.50779e-15,9261,1e+08,2.4438e-17,2.4438e-17,2.4438e-17,1.26047e-11,6.42494e-11,7.68626e-11
57,1.16e-07,2.86683,68921,8e+08,-7.57692e-19,-7.57692e-19,-7.57692e-19,8.79564e-15,9261,1e+08,2.47951e-17,2.47951e-17,2.47951e-17,1.29074e-11,6.39481e-11,7.68643e-11
58,1.18e-07,2.90273,68921,8e+08,-7.32091e-19,-7.32091e-19,-7.32091e-19,9.08798e-15,9261,1e+08,2.51466e-17,2.51466e-17,2.51466e-17,1.32065e-11,6.36502e-11,7.68658e-11
59,1.2e-07,2.93861,68921,8e+08,-7.0872e-19,-7.0872e-19,-7.0872e-19,9.38474e-15,9261,1e+08,2.54924e-17,2.54924e-17,2.54924e-17,1.35018e-11,6.3356e-11,7.68672e-11
60,1.22e-07,2.97631,68921,8e+08,-6.66495e-19,-6.66495e-19,-6.66495e-19,9.68586e-15,9261,1e+08,2.58322e-17,2.58322e-17,2.58322e-17,1.37929e-11,6.3066e-11,7.68686e-11
