ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,total_E
115,1.1500000000000022e-05,39767.23013877869,0,0,0.0,0.0,0.0,0.0,1.165896587921721e-08,1.165896587921721e-08
116,1.1600000000000023e-05,40073.91783308983,0,0,0.0,0.0,0.0,0.0,1.1658893102219547e-08,1.1658893102219547e-08
117,1.1700000000000024e-05,40374.01126360893,0,0,0.0,0.0,0.0,0.0,1.1658821944068877e-08,1.1658821944068877e-08
118,1.1800000000000024e-05,40748.86516261101,0,0,0.0,0.0,0.0,0.0,1.165875039000911e-08,1.165875039000911e-08
119,1.1900000000000025e-05,41131.64534306526,0,0,0.0,0.0,0.0,0.0,1.1658679942011459e-08,1.1658679942011459e-08
120,1.2000000000000026e-05,41580.412214279175,0,0,0.0,0.0,0.0,0.0,1.1658609247220927e-08,1.1658609247220927e-08
121,1.2100000000000026e-05,41985.255465745926,0,0,0.0,0.0,0.0,0.0,1.165853785700885e-08,1.165853785700885e-08
122,1.2200000000000027e-05,42290.01348924637,0,0,0.0,0.0,0.0,0.0,1.1658467648454863e-08,1.1658467648454863e-08
123,1.2300000000000028e-05,42593.3570394516,0,0,0.0,0.0,0.0,0.0,1.1658397485601777e-08,1.1658397485601777e-08
124,1.2400000000000029e-05,42896.919659137726,0,0,0.0,0.0,0.0,0.0,1.1658327808650378e-08,1.1658327808650378e-08
125,1.250000000000003e-05,43195.49543452263,0,0,0.0,0.0,0.0,0.0,1.1658258108451457e-08,1.1658258108451457e-08
126,1.260000000000003e-05,43568.04294657707,0,0,0.0,0.0,0.0,0.0,1.1658188003404819e-08,1.1658188003404819e-08
127,1.2700000000000031e-05,43930.20971727371,0,0,0.0,0.0,0.0,0.0,1.1658118448625015e-08,1.1658118448625015e-08
128,1.2800000000000032e-05,44295.78670954704,0,0,0.0,0.0,0.0,0.0,1.1658050121412285e-08,1.1658050121412285e-08
129,1.2900000000000032e-05,44663.934562683105,0,0,0.0,0.0,0.0,0.0,1.1657983188097869e-08,1.1657983188097869e-08
130,1.3000000000000033e-05,45102.20884823799,0,0,0.0,0.0,0.0,0.0,1.1657915007026779e-08,1.1657915007026779e-08
131,1.3100000000000034e-05,45557.35644984245,0,0,0.0,0.0,0.0,0.0,1.1657850056241751e-08,1.1657850056241751e-08
132,1.3200000000000035e-05,46006.310260772705,0,0,0.0,0.0,0.0,0.0,1.1657783607392528e-08,1.1657783607392528e-08
133,1.3300000000000035e-05,46357.93484926224,0,0,0.0,0.0,0.0,0.0,1.1657718436967796e-08,1.1657718436967796e-08
134,1.3400000000000036e-05,46680.03744864464,0,0,0.0,0.0,0.0,0.0,1.1657653114437712e-08,1.1657653114437712e-08
135,1.3500000000000037e-05,46989.41828584671,0,0,0.0,0.0,0.0,0.0,1.1657589836381092e-08,1.1657589836381092e-08
136,1.3600000000000038e-05,47302.00320196152,0,0,0.0,0.0,0.0,0.0,1.1657524894592657e-08,1.1657524894592657e-08
137,1.3700000000000038e-05,47615.5169570446,0,0,0.0,0.0,0.0,0.0,1.1657459561764217e-08,1.1657459561764217e-08
138,1.3800000000000039e-05,47928.63437318802,0,0,0.0,0.0,0.0,0.0,1.165739512396644e-08,1.165739512396644e-08
139,1.390000000000004e-05,48244.79256820679,0,0,0.0,0.0,0.0,0.0,1.165733421791133e-08,1.165733421791133e-08
140,1.400000000000004e-05,48522.02479362488,0,0,0.0,0.0,0.0,0.0,1.1657272153348182e-08,1.1657272153348182e-08
141,1.4100000000000041e-05,48786.31860923767,0,0,0.0,0.0,0.0,0.0,1.1657210001507258e-08,1.1657210001507258e-08
142,1.4200000000000042e-05,49041.07353591919,0,0,0.0,0.0,0.0,0.0,1.1657153935812962e-08,1.1657153935812962e-08
143,1.4300000000000043e-05,49285.95413041115,0,0,0.0,0.0,0.0,0.0,1.1657114586533093e-08,1.1657114586533093e-08
144,1.4400000000000043e-05,49507.75956892967,0,0,0.0,0.0,0.0,0.0,1.165709719649586e-08,1.165709719649586e-08
145,1.4500000000000044e-05,49679.931901454926,0,0,0.0,0.0,0.0,0.0,1.165709323176861e-08,1.165709323176861e-08
146,1.4600000000000045e-05,49785.88205552101,0,0,0.0,0.0,0.0,0.0,1.1657094641415405e-08,1.1657094641415405e-08
147,1.4700000000000046e-05,49851.502995967865,0,0,0.0,0.0,0.0,0.0,1.1657095917146627e-08,1.1657095917146627e-08
148,1.4800000000000046e-05,49937.00557208061,0,0,0.0,0.0,0.0,0.0,1.1657093842932025e-08,1.1657093842932025e-08
149,1.4900000000000047e-05,49982.93284082413,0,0,0.0,0.0,0.0,0.0,1.165709318068868e-08,1.165709318068868e-08
150,1.5000000000000048e-05,50027.194274902344,0,0,0.0,0.0,0.0,0.0,1.1657093003403305e-08,1.1657093003403305e-08
151,1.5100000000000049e-05,50156.74509310722,0,0,0.0,0.0,0.0,0.0,1.1657092383309262e-08,1.1657092383309262e-08
152,1.520000000000005e-05,50292.38341283798,0,0,0.0,0.0,0.0,0.0,1.1657090682366948e-08,1.1657090682366948e-08
153,1.530000000000005e-05,50439.38764691353,0,0,0.0,0.0,0.0,0.0,1.1657088341150164e-08,1.1657088341150164e-08
154,1.540000000000005e-05,50555.40331673622,0,0,0.0,0.0,0.0,0.0,1.1657086739720592e-08,1.1657086739720592e-08
155,1.5500000000000048e-05,50638.354582071304,0,0,0.0,0.0,0.0,0.0,1.1657086037061381e-08,1.1657086037061381e-08
156,1.5600000000000047e-05,50675.81143331528,0,0,0.0,0.0,0.0,0.0,1.1657085862850735e-08,1.1657085862850735e-08
157,1.5700000000000046e-05,50787.7413084507,0,0,0.0,0.0,0.0,0.0,1.1657086245454889e-08,1.1657086245454889e-08
158,1.5800000000000045e-05,50927.78990197182,0,0,0.0,0.0,0.0,0.0,1.1657084929753212e-08,1.1657084929753212e-08
159,1.5900000000000044e-05,51069.46380853653,0,0,0.0,0.0,0.0,0.0,1.165708233327348e-08,1.165708233327348e-08
160,1.6000000000000043e-05,51209.02262377739,0,0,0.0,0.0,0.0,0.0,1.1657081005298364e-08,1.1657081005298364e-08
161,1.6100000000000042e-05,51356.29964494705,0,0,0.0,0.0,0.0,0.0,1.1657081211015089e-08,1.1657081211015089e-08
162,1.620000000000004e-05,51465.347881793976,0,0,0.0,0.0,0.0,0.0,1.165708136195149e-08,1.165708136195149e-08
163,1.630000000000004e-05,51592.76651763916,0,0,0.0,0.0,0.0,0.0,1.1657082378959084e-08,1.1657082378959084e-08
164,1.640000000000004e-05,51730.92120432854,0,0,0.0,0.0,0.0,0.0,1.1657081943092875e-08,1.1657081943092875e-08
165,1.650000000000004e-05,51867.367089271545,0,0,0.0,0.0,0.0,0.0,1.1657082207348364e-08,1.1657082207348364e-08
166,1.6600000000000038e-05,56392.87653923035,0,0,0.0,0.0,0.0,0.0,1.165708263674763e-08,1.165708263674763e-08
167,1.6700000000000037e-05,63418.08077597618,0,0,0.0,0.0,0.0,0.0,1.165708369510906e-08,1.165708369510906e-08
168,1.6800000000000036e-05,75891.28690767288,0,0,0.0,0.0,0.0,0.0,1.1657084831435537e-08,1.1657084831435537e-08
169,1.6900000000000035e-05,76059.40700221062,0,0,0.0,0.0,0.0,0.0,1.1657084766386563e-08,1.1657084766386563e-08
170,1.7000000000000034e-05,76161.4139778614,0,0,0.0,0.0,0.0,0.0,1.1657086092521765e-08,1.1657086092521765e-08
171,1.7100000000000033e-05,76276.57559967041,0,0,0.0,0.0,0.0,0.0,1.1657084655815713e-08,1.1657084655815713e-08
172,1.7200000000000032e-05,76423.32942080498,0,0,0.0,0.0,0.0,0.0,1.165708442825593e-08,1.165708442825593e-08
173,1.730000000000003e-05,76615.69686317444,0,0,0.0,0.0,0.0,0.0,1.1657083021641094e-08,1.1657083021641094e-08
174,1.740000000000003e-05,76891.84952378273,0,0,0.0,0.0,0.0,0.0,1.16570820467122e-08,1.16570820467122e-08
175,1.750000000000003e-05,77121.18646407127,0,0,0.0,0.0,0.0,0.0,1.1657081119135567e-08,1.1657081119135567e-08
176,1.7600000000000028e-05,77343.45832967758,0,0,0.0,0.0,0.0,0.0,1.1657079284087214e-08,1.1657079284087214e-08
177,1.7700000000000027e-05,77543.83857154846,0,0,0.0,0.0,0.0,0.0,1.1657077697313774e-08,1.1657077697313774e-08
178,1.7800000000000026e-05,77741.89832830429,0,0,0.0,0.0,0.0,0.0,1.1657076128557464e-08,1.1657076128557464e-08
179,1.7900000000000025e-05,77962.20517635345,0,0,0.0,0.0,0.0,0.0,1.1657076371117326e-08,1.1657076371117326e-08
180,1.8000000000000024e-05,78078.71889972687,0,0,0.0,0.0,0.0,0.0,1.1657076371012429e-08,1.1657076371012429e-08
181,1.8100000000000023e-05,78146.46778726578,0,0,0.0,0.0,0.0,0.0,1.16570754038595e-08,1.16570754038595e-08
182,1.8200000000000022e-05,78285.8188533783,0,0,0.0,0.0,0.0,0.0,1.16570746731885e-08,1.16570746731885e-08
183,1.830000000000002e-05,78481.76245880127,0,0,0.0,0.0,0.0,0.0,1.1657074324314743e-08,1.1657074324314743e-08
184,1.840000000000002e-05,78723.88289666176,0,0,0.0,0.0,0.0,0.0,1.1657074106160248e-08,1.1657074106160248e-08
185,1.850000000000002e-05,78970.56107878685,0,0,0.0,0.0,0.0,0.0,1.165707478326304e-08,1.165707478326304e-08
186,1.860000000000002e-05,79222.31915950775,0,0,0.0,0.0,0.0,0.0,1.1657074017929023e-08,1.1657074017929023e-08
187,1.8700000000000017e-05,79409.31058597565,0,0,0.0,0.0,0.0,0.0,1.16570724121839e-08,1.16570724121839e-08
188,1.8800000000000017e-05,79629.74010872841,0,0,0.0,0.0,0.0,0.0,1.1657072702295747e-08,1.1657072702295747e-08
189,1.8900000000000016e-05,79789.75748038292,0,0,0.0,0.0,0.0,0.0,1.1657071154350791e-08,1.1657071154350791e-08
190,1.9000000000000015e-05,80016.29176831245,0,0,0.0,0.0,0.0,0.0,1.1657070157496552e-08,1.1657070157496552e-08
191,1.9100000000000014e-05,80325.43673300743,0,0,0.0,0.0,0.0,0.0,1.1657072051781876e-08,1.1657072051781876e-08
192,1.9200000000000013e-05,80540.03474330902,0,0,0.0,0.0,0.0,0.0,1.1657073177669353e-08,1.1657073177669353e-08
193,1.9300000000000012e-05,80678.9059612751,0,0,0.0,0.0,0.0,0.0,1.1657073247912784e-08,1.1657073247912784e-08
194,1.940000000000001e-05,80907.96009659767,0,0,0.0,0.0,0.0,0.0,1.165707283547391e-08,1.165707283547391e-08
195,1.950000000000001e-05,81129.22975993156,0,0,0.0,0.0,0.0,0.0,1.1657072827870946e-08,1.1657072827870946e-08
196,1.960000000000001e-05,81306.7622988224,0,0,0.0,0.0,0.0,0.0,1.1657072758080988e-08,1.1657072758080988e-08
197,1.9700000000000008e-05,81483.47560620308,0,0,0.0,0.0,0.0,0.0,1.1657074258058453e-08,1.1657074258058453e-08
198,1.9800000000000007e-05,81714.08601498604,0,0,0.0,0.0,0.0,0.0,1.1657076378998922e-08,1.1657076378998922e-08
199,1.9900000000000006e-05,81944.55852508545,0,0,0.0,0.0,0.0,0.0,1.1657076126427108e-08,1.1657076126427108e-08
200,2.0000000000000005e-05,82181.56089282036,0,0,0.0,0.0,0.0,0.0,1.1657076343323473e-08,1.1657076343323473e-08
